segmento,tiempo,frame,segundo,id,equipo,x,y,x_norm,y_norm,zona_v,zona_h,conf
2T — Inicio a TM Olimpia,2T,11652,388.4,3844,olimpia,581.0,211.1,0.908,0.459,definicion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11652,388.4,3852,marmoleria,407.2,203.9,0.636,0.432,gestacion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11655,388.5,3844,olimpia,581.7,210.2,0.909,0.455,definicion,carril_central,0.77
2T — Inicio a TM Olimpia,2T,11655,388.5,3852,marmoleria,405.5,203.9,0.634,0.432,gestacion,carril_central,0.71
2T — Inicio a TM Olimpia,2T,11658,388.6,3844,olimpia,583.4,207.8,0.912,0.446,definicion,carril_central,0.68
2T — Inicio a TM Olimpia,2T,11658,388.6,3852,marmoleria,404.7,203.4,0.632,0.431,gestacion,carril_central,0.83
2T — Inicio a TM Olimpia,2T,11661,388.7,3844,olimpia,584.7,207.7,0.914,0.446,definicion,carril_central,0.77
2T — Inicio a TM Olimpia,2T,11661,388.7,3852,marmoleria,403.0,203.4,0.63,0.431,gestacion,carril_central,0.82
2T — Inicio a TM Olimpia,2T,11664,388.8,3844,olimpia,586.4,206.6,0.916,0.442,definicion,carril_central,0.71
2T — Inicio a TM Olimpia,2T,11664,388.8,3852,marmoleria,401.7,203.3,0.628,0.43,gestacion,carril_central,0.78
2T — Inicio a TM Olimpia,2T,11667,388.9,3844,olimpia,587.7,205.0,0.918,0.436,definicion,carril_central,0.69
2T — Inicio a TM Olimpia,2T,11667,388.9,3852,marmoleria,400.3,202.9,0.625,0.429,gestacion,carril_central,0.73
2T — Inicio a TM Olimpia,2T,11670,389.0,3844,olimpia,591.7,204.0,0.924,0.433,definicion,carril_central,0.7
2T — Inicio a TM Olimpia,2T,11670,389.0,3852,marmoleria,399.8,202.4,0.625,0.427,gestacion,carril_central,0.8
2T — Inicio a TM Olimpia,2T,11673,389.1,3844,olimpia,594.4,203.6,0.929,0.431,definicion,carril_central,0.67
2T — Inicio a TM Olimpia,2T,11673,389.1,3852,marmoleria,399.3,202.0,0.624,0.425,gestacion,carril_central,0.79
2T — Inicio a TM Olimpia,2T,11676,389.2,3852,marmoleria,397.2,202.1,0.621,0.426,gestacion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11679,389.3,3852,marmoleria,396.9,202.5,0.62,0.427,gestacion,carril_central,0.72
2T — Inicio a TM Olimpia,2T,11682,389.4,3852,marmoleria,397.0,200.7,0.62,0.421,gestacion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11682,389.4,3844,olimpia,596.7,198.4,0.932,0.412,definicion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11685,389.5,3852,marmoleria,397.2,200.2,0.621,0.419,gestacion,carril_central,0.74
2T — Inicio a TM Olimpia,2T,11685,389.5,3844,olimpia,596.1,198.1,0.931,0.411,definicion,carril_central,0.63
2T — Inicio a TM Olimpia,2T,11688,389.6,3852,marmoleria,397.8,200.2,0.622,0.419,gestacion,carril_central,0.78
2T — Inicio a TM Olimpia,2T,11688,389.6,3844,olimpia,596.3,197.8,0.932,0.41,definicion,carril_central,0.7
2T — Inicio a TM Olimpia,2T,11691,389.7,3852,marmoleria,398.2,199.7,0.622,0.417,gestacion,carril_central,0.8
2T — Inicio a TM Olimpia,2T,11691,389.7,3844,olimpia,596.5,197.9,0.932,0.41,definicion,carril_central,0.69
2T — Inicio a TM Olimpia,2T,11694,389.8,3852,marmoleria,401.4,197.0,0.627,0.407,gestacion,carril_central,0.76
2T — Inicio a TM Olimpia,2T,11694,389.8,3844,olimpia,601.8,195.2,0.94,0.401,definicion,carril_central,0.69
2T — Inicio a TM Olimpia,2T,11697,389.9,3852,marmoleria,402.7,195.4,0.629,0.402,gestacion,carril_central,0.77
2T — Inicio a TM Olimpia,2T,11697,389.9,3844,olimpia,601.8,197.4,0.94,0.409,definicion,carril_central,0.5
2T — Inicio a TM Olimpia,2T,11700,390.0,3852,marmoleria,404.2,195.2,0.632,0.394,gestacion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,11700,390.0,3844,olimpia,602.7,196.9,0.942,0.4,definicion,carril_central,0.47
2T — Inicio a TM Olimpia,2T,11703,390.1,3852,marmoleria,405.4,194.4,0.633,0.391,gestacion,carril_central,0.75
2T — Inicio a TM Olimpia,2T,11703,390.1,3844,olimpia,604.4,194.3,0.944,0.391,definicion,carril_central,0.68
2T — Inicio a TM Olimpia,2T,11706,390.2,3852,marmoleria,406.4,192.7,0.635,0.385,gestacion,carril_central,0.71
2T — Inicio a TM Olimpia,2T,11706,390.2,3844,olimpia,606.1,193.3,0.947,0.387,definicion,carril_central,0.63
2T — Inicio a TM Olimpia,2T,11709,390.3,3852,marmoleria,406.9,193.1,0.636,0.386,gestacion,carril_central,0.71
